Source,Target,Weight,Raw distance
BGC0000662.1,NZ_JNXG01000009.region002,0.6159196496009827,0.2151945233345032
BGC0000850.1,NZ_JNXG01000028.region001,0.1903695613145828,0.5636864304542542
BGC0001931.1,BGC0002033.1,0.3810406625270844,0.3827150762081146
BGC0000025.1,BGC0002033.1,0.17024344205856326,0.5873943567276001
BGC0000941.1,NZ_JNXG01000003.region001,0.3658073842525482,0.3951798677444458
BGC0000025.1,BGC0000827.1,0.18320272862911224,0.5719780921936035
BGC0000265.1,BGC0001568.1,0.36924001574516296,0.3923487663269043
BGC0000270.1,BGC0000835.1,1.0,1.7347234759768068e-17
BGC0001384.1,BGC0001769.1,0.7752075791358948,0.1195412650704384
BGC0000940.1,BGC0000941.1,0.5004470944404602,0.2925771474838257
BGC0000025.1,BGC0001931.1,0.21124792098999026,0.5403828620910645
BGC0000825.1,BGC0000827.1,0.3029541075229645,0.449587345123291
BGC0001453.1,NZ_JNXG01000003.region001,0.21494188904762268,0.536381721496582
BGC0000199.1,BGC0001979.1,0.2237011045217514,0.5270295143127441
BGC0000082.1,BGC0001522.1,0.1860294193029404,0.5686887502670288
BGC0001080.1,BGC0001302.1,0.35425904393196106,0.4048033356666565
BGC0000274.1,BGC0001852.1,0.2481495141983032,0.5018539428710938
BGC0001453.1,BGC0001478.1,0.19612199068069455,0.5571433901786804
BGC0000833.1,BGC0001072.1,0.17331504821777344,0.5836887359619141
BGC0000274.1,BGC0001851.1,0.2409084290266037,0.5091757774353027
BGC0000025.1,BGC0000082.1,0.17156241834163666,0.5857990384101868
BGC0000229.1,BGC0001384.1,0.5733764171600342,0.24278375506401065
BGC0000278.1,BGC0001384.1,0.5416883826255798,0.264005184173584
BGC0000267.1,BGC0001438.1,0.19690361618995667,0.5562617778778076
BGC0001046.1,BGC0001580.1,0.17882424592971802,0.5771238207817078
BGC0000278.1,BGC0000654.1,0.19276773929595947,0.5609467625617981
BGC0000278.1,BGC0001438.1,0.35781386494636536,0.401824563741684
BGC0001478.1,NZ_JNXG01000003.region001,0.5499446988105774,0.2584174573421478
BGC0001046.1,BGC0002033.1,0.1876387596130371,0.566827118396759
BGC0000278.1,BGC0001769.1,0.5089280605316162,0.2866080701351166
BGC0000025.1,BGC0001568.1,0.16052551567554474,0.5993436574935913
BGC0000239.1,BGC0001979.1,0.2369266450405121,0.5132489204406738
BGC0000082.1,BGC0001004.1,0.4421859383583069,0.3350293636322021
BGC0000825.1,BGC0000826.1,0.4457506537437439,0.3323543965816498
BGC0000278.1,BGC0001439.1,0.17643770575523374,0.5799551010131836
BGC0000268.1,BGC0001384.1,0.3939346373081207,0.3723578751087189
BGC0000832.1,BGC0001154.1,0.18782232701778406,0.5666152834892273
BGC0000274.1,BGC0001979.1,0.2095944732427597,0.5421851277351379
BGC0000144.1,BGC0001877.1,0.17108583450317386,0.5863747596740723
BGC0001452.1,BGC0001522.1,0.954246699810028,0.02314448170363903
BGC0000834.1,BGC0001072.1,0.16358806192874908,0.5955398082733154
BGC0000229.1,BGC0000267.1,0.23640649020671844,0.5137835144996643
BGC0000835.1,BGC0001072.1,0.9978533983230592,0.0010738776763901112
BGC0000265.1,BGC0001074.1,0.30894213914871216,0.4441743493080139
BGC0000274.1,BGC0001568.1,0.1993633210659027,0.5534988045692444
BGC0000144.1,BGC0001619.1,0.1973639279603958,0.555743396282196
BGC0001478.1,BGC0001572.1,0.31767287850379944,0.436375230550766
BGC0000935.1,BGC0002010.1,0.2201678454875946,0.5307795405387878
BGC0000941.1,BGC0001453.1,0.4188492596149445,0.35281434655189514
BGC0000278.1,BGC0001619.1,0.16711781919002533,0.591199517250061
BGC0000849.1,NZ_JNXG01000001.region001,0.1914672553539276,0.5624302625656128
BGC0000229.1,BGC0000268.1,0.3888140916824341,0.3764504194259644
BGC0000940.1,NZ_JNXG01000003.region001,0.22532865405082705,0.525312066078186
BGC0000934.1,BGC0001079.1,0.4528545737266541,0.32705530524253845
BGC0000267.1,BGC0001979.1,0.2808448672294617,0.4700520038604736
BGC0001080.1,BGC0001221.1,0.23585575819015506,0.5143501758575441
BGC0000936.1,BGC0002010.1,0.272970974445343,0.477533757686615
BGC0000239.1,BGC0000267.1,0.30264541506767273,0.4498678147792816
BGC0000268.1,BGC0001769.1,0.4583491683006287,0.3229850828647613
BGC0000934.1,BGC0001078.1,0.5094168782234192,0.2862655222415924
BGC0001046.1,BGC0001065.1,0.17114362120628354,0.5863049030303955
BGC0000278.1,BGC0001046.1,0.1887199580669403,0.5655809044837952
BGC0001074.1,BGC0001558.1,0.7711794376373291,0.12183177471160887
BGC0001580.1,BGC0002033.1,0.1905827820301056,0.5634421110153198
BGC0000936.1,BGC0001080.1,0.3725918829441071,0.3895969688892365
BGC0000833.1,BGC0001154.1,0.2121933251619339,0.5393555164337158
BGC0000934.1,BGC0000936.1,0.2865548431873321,0.4646918177604675
BGC0000652.1,BGC0001079.1,0.7689222097396851,0.12311790138483047
BGC0000940.1,BGC0001453.1,0.5068972706794739,0.2880328297615051
BGC0000832.1,BGC0000833.1,0.5272080302238464,0.2739090621471405
BGC0001580.1,BGC0001931.1,0.18845094740390775,0.5658906102180481
BGC0001438.1,BGC0001979.1,0.2059411108493805,0.5461926460266113
BGC0000274.1,BGC0001384.1,0.25830423831939703,0.4917635917663574
BGC0001074.1,BGC0001568.1,0.7692105174064636,0.12295352667570116
BGC0000848.1,BGC0000849.1,0.44732028245925903,0.3311799466609955
BGC0000832.1,BGC0000834.1,0.4612992107868194,0.32080987095832825
BGC0000934.1,BGC0001080.1,0.5280957818031311,0.2732979953289032
