Source,Target,Weight,Raw distance
BGC0001662.1,BGC0001700.1,0.1894351840019226,0.5647584795951843
BGC0000662.1,NZ_JNXG01000009.region002,0.6291576623916626,0.20680540800094604
BGC0000117.1,BGC0001877.1,0.16806074976921082,0.5900478363037109
BGC0000058.1,BGC0001194.1,0.1949601173400879,0.5584571361541748
BGC0000200.1,BGC0001197.1,0.21752434968948364,0.5336049199104309
BGC0000018.1,BGC0000047.1,0.3087603449821472,0.4443379044532776
BGC0001812.1,BGC0001931.1,0.16126637160778046,0.5984201431274414
BGC0000060.1,BGC0001653.1,0.17215631902217865,0.5850827693939209
BGC0001709.1,BGC0001755.1,0.1995176374912262,0.5533260107040405
BGC0000248.1,BGC0001625.1,0.2469853758811951,0.5030237436294556
BGC0000125.1,BGC0001204.1,0.17343075573444364,0.5835497975349426
BGC0000113.1,BGC0000147.1,0.17892678081989288,0.5770026445388794
BGC0000018.1,BGC0000113.1,0.41114377975463867,0.35879504680633545
BGC0001179.1,BGC0001719.1,0.7451348304748535,0.13678808510303495
BGC0000086.1,BGC0001828.1,0.2292866557836533,0.5211611390113831
BGC0000218.1,BGC0001568.1,0.20554137229919436,0.5466333031654358
BGC0001194.1,BGC0001349.1,0.21926428377628326,0.5317433476448059
BGC0000649.1,BGC0001227.1,0.2643742859363556,0.4858265817165375
BGC0000058.1,BGC0001523.1,0.19126617908477786,0.5626600980758667
BGC0000228.1,BGC0001179.1,0.2139912992715836,0.5374080538749695
BGC0000135.1,BGC0001690.1,0.16339010000228882,0.595784604549408
BGC0000060.1,BGC0001784.1,0.1608523577451706,0.5989359617233276
BGC0001013.1,BGC0001670.1,0.19455407559871676,0.5589171648025513
BGC0000217.1,BGC0000228.1,0.2605073153972626,0.4896008372306824
BGC0000265.1,BGC0001568.1,0.2722121477127075,0.4782604575157166
BGC0000999.1,NZ_JNXG01000011.region002,0.3423864245414734,0.4148620367050171
BGC0000034.1,BGC0000117.1,0.18683677911758426,0.567753791809082
BGC0000059.1,BGC0000114.1,0.19477736949920652,0.558664083480835
BGC0000267.1,BGC0001513.1,0.19337230920791626,0.5602588057518005
BGC0000109.1,BGC0000135.1,0.2364388555288315,0.5137501955032349
BGC0001453.1,NZ_JNXG01000003.region001,0.19628751277923584,0.5569565296173096
BGC0000105.1,BGC0001204.1,0.1941615343093872,0.5593623518943787
BGC0000034.1,BGC0001932.1,0.1971868723630905,0.555942714214325
BGC0001072.1,BGC0002000.1,0.19580601155757904,0.5575003027915955
BGC0000018.1,BGC0000991.1,0.16118210554122925,0.5985251069068909
BGC0001348.1,BGC0001349.1,0.1618170589208603,0.5977351069450378
BGC0000234.1,BGC0000267.1,0.22398783266544345,0.5267264842987059
BGC0000166.1,BGC0001658.1,0.1728568971157074,0.5842393636703491
BGC0000248.1,BGC0001769.1,0.23499879240989685,0.5152332782745361
BGC0000158.1,BGC0001648.1,0.17589429020881653,0.5806024670600891
BGC0000142.1,BGC0001908.1,0.2961199581623077,0.4558309316635132
BGC0000219.1,BGC0001513.1,0.2132275402545929,0.5382343530654907
BGC0000126.1,BGC0001012.1,0.2607512176036835,0.489361971616745
BGC0001830.1,BGC0002033.1,0.2636195421218872,0.4865610599517822
BGC0000228.1,BGC0001625.1,0.188604936003685,0.5657132863998413
BGC0000166.1,BGC0001828.1,0.1788056194782257,0.5771458745002747
BGC0001348.1,BGC0001495.1,0.2304095029830933,0.5199900865554811
BGC0000052.1,BGC0000116.1,0.1956846117973328,0.5576374530792236
BGC0001453.1,BGC0001478.1,0.2326300293207169,0.517682671546936
BGC0000270.1,BGC0001904.1,0.3797428607940674,0.3837671875953674
BGC0000231.1,BGC0000235.1,0.5211938619613647,0.2780624032020569
BGC0000034.1,BGC0001700.1,0.21623647212982175,0.5349876880645752
BGC0000028.1,BGC0000078.1,0.19276586174964905,0.56094890832901
BGC0000125.1,BGC0001648.1,0.16629405319690704,0.5922083258628845
BGC0000126.1,BGC0000167.1,0.1977134793996811,0.5553501844406128
BGC0000231.1,BGC0001179.1,0.1829063445329666,0.5723245143890381
BGC0000144.1,BGC0000164.1,0.1735185831785202,0.583444356918335
BGC0001653.1,BGC0001785.1,0.1616687774658203,0.5979194045066833
BGC0001227.1,BGC0001456.1,0.5289162397384644,0.2727337181568146
BGC0000050.1,BGC0000167.1,0.2286242097616196,0.5218533873558044
BGC0000989.1,BGC0001034.1,0.1780276596546173,0.5780667662620544
BGC0000117.1,BGC0001670.1,0.1787896752357483,0.5771647095680237
BGC0000114.1,BGC0002032.1,0.2096634805202484,0.5421097278594971
BGC0000021.1,BGC0000059.1,0.16739188134670258,0.5908644795417786
BGC0000050.1,BGC0001287.1,0.1975700408220291,0.555511474609375
BGC0000234.1,BGC0001895.1,0.24857234954833984,0.5014296770095825
BGC0000192.1,BGC0000212.1,0.7148858308792114,0.15449078381061554
BGC0000050.1,BGC0001169.1,0.2624672949314117,0.4876843690872192
BGC0000050.1,BGC0000051.1,0.20901130139827728,0.5428224802017212
BGC0001348.1,BGC0001908.1,0.16956165432929993,0.5882213711738586
BGC0000058.1,BGC0000114.1,0.27453455328941345,0.4760395586490631
BGC0000061.1,BGC0001288.1,0.17991836369037628,0.5758321285247803
BGC0001012.1,BGC0001040.1,0.2075546830892563,0.5444183349609375
BGC0000109.1,BGC0001004.1,0.17641662061214447,0.579980194568634
BGC0000079.1,BGC0000086.1,0.22241005301475525,0.5283963084220886
BGC0000035.1,BGC0001812.1,0.17522473633289334,0.5814014673233032
BGC0000058.1,BGC0000086.1,0.2683584690093994,0.4819667339324951
BGC0000157.1,BGC0001537.1,0.1721339225769043,0.5851097106933594
BGC0000212.1,BGC0000228.1,0.17883577942848206,0.5771101713180542
BGC0000018.1,BGC0000035.1,0.2760626971721649,0.4745833277702332
BGC0000151.1,BGC0001662.1,0.2493069916963577,0.5006935000419617
BGC0000126.1,BGC0001690.1,0.19893048703670504,0.5539837479591371
BGC0000149.1,BGC0001477.1,0.1869836896657944,0.5675839185714722
BGC0000072.1,BGC0001298.1,0.16926145553588867,0.5885860323905945
BGC0001452.1,BGC0001658.1,0.1710037738084793,0.5864740014076233
BGC0001013.1,BGC0001042.1,0.2090999335050583,0.5427255630493164
BGC0001491.1,BGC0001709.1,0.2911425530910492,0.4604237377643585
BGC0000018.1,BGC0000147.1,0.20225654542446134,0.5502706170082092
BGC0000079.1,BGC0001348.1,0.2050463706254959,0.5471795201301575
BGC0000228.1,BGC0000268.1,0.3337234556674957,0.4223119616508484
BGC0000002.1,BGC0000052.1,0.19926176965236664,0.5536125302314758
BGC0000109.1,BGC0000164.1,0.19980478286743164,0.5530046820640564
BGC0000124.1,BGC0001830.1,0.1830328702926636,0.5721765756607056
BGC0000084.1,BGC0000114.1,0.2484723776578903,0.5015299320220947
BGC0000221.1,BGC0000253.1,0.1928912252187729,0.560806155204773
BGC0000194.1,BGC0001895.1,0.16999998688697815,0.5876894593238831
BGC0000117.1,BGC0000149.1,0.2141445279121399,0.5372424721717834
BGC0000058.1,BGC0001828.1,0.3130089044570923,0.440528005361557
BGC0000229.1,BGC0000267.1,0.217183381319046,0.5339706540107727
BGC0000047.1,BGC0000053.1,0.17072412371635434,0.5868122577667236
BGC0001447.1,BGC0002032.1,0.16716603934764862,0.5911405682563782
BGC0001939.1,BGC0002024.1,0.21199172735214236,0.5395743846893309
BGC0000050.1,BGC0001828.1,0.18526171147823334,0.5695796012878418
BGC0000073.1,BGC0000109.1,0.2203770875930786,0.5305566191673279
BGC0000230.1,BGC0000266.1,0.3124914765357971,0.4409906268119812
BGC0000125.1,BGC0001908.1,0.16018721461296082,0.5997660160064697
BGC0000050.1,BGC0001658.1,0.1693791002035141,0.5884431004524231
BGC0000050.1,BGC0001051.1,0.16994357109069824,0.5877578854560852
BGC0001700.1,BGC0001944.1,0.17439155280590055,0.5823978781700134
BGC0000228.1,BGC0001596.1,0.1779756397008896,0.5781283974647522
BGC0001066.1,BGC0001694.1,0.19293422996997836,0.5607572197914124
BGC0000058.1,BGC0001012.1,0.30390864610672,0.4487209022045136
BGC0000113.1,BGC0001828.1,0.16775934398174286,0.5904156565666199
BGC0000018.1,BGC0001658.1,0.16548959910869598,0.5931958556175232
BGC0000110.1,BGC0000166.1,0.17030629515647888,0.5873181819915771
BGC0000115.1,BGC0000125.1,0.20233595371246335,0.5501822829246521
BGC0000073.1,BGC0001013.1,0.2518163323402405,0.4981869459152222
BGC0000028.1,BGC0000125.1,0.1715094894170761,0.5858629941940308
BGC0000940.1,NZ_JNXG01000003.region001,0.20394481718540192,0.5483974814414978
BGC0000267.1,BGC0001979.1,0.18325886130332947,0.5719125270843506
BGC0000167.1,BGC0001770.1,0.19834712147712708,0.5546382069587708
BGC0001700.1,BGC0001856.1,0.2135611027479172,0.5378732681274414
BGC0000164.1,BGC0001012.1,0.16420340538024902,0.5947797894477844
BGC0000228.1,BGC0001661.1,0.3345934450626373,0.4215594828128815
BGC0000040.1,BGC0000117.1,0.22193671762943268,0.5288984179496765
BGC0000028.1,BGC0001195.1,0.17929202318191528,0.5765711069107056
BGC0000061.1,BGC0000108.1,0.180100679397583,0.5756173133850098
BGC0000233.1,BGC0001895.1,0.1874380558729172,0.5670588612556458
BGC0000029.1,BGC0000142.1,0.2323561012744904,0.5179666876792908
BGC0001012.1,BGC0001828.1,0.2320379465818405,0.5182968378067017
BGC0000248.1,BGC0001979.1,0.2226162850856781,0.5281776785850525
BGC0001648.1,BGC0002032.1,0.1803714483976364,0.5752983689308167
BGC0000029.1,BGC0000106.1,0.1645628660917282,0.5943365097045898
BGC0000094.1,BGC0001199.1,0.2177247852087021,0.5333901047706604
BGC0000194.1,BGC0000267.1,0.18354156613349915,0.5715824961662292
BGC0001348.1,BGC0001690.1,0.1868179589509964,0.567775547504425
BGC0001013.1,BGC0001495.1,0.16575753688812256,0.5928667187690735
BGC0000234.1,BGC0002000.1,0.3100530207157135,0.4431759417057037
BGC0000029.1,BGC0000036.1,0.16603034734725952,0.5925318002700806
BGC0000058.1,BGC0000142.1,0.230001300573349,0.5204154849052429
BGC0000157.1,BGC0000167.1,0.1703926920890808,0.5872135162353516
BGC0000199.1,BGC0000228.1,0.25865498185157776,0.4914186596870422
BGC0000126.1,BGC0001495.1,0.300993412733078,0.4513713121414185
BGC0001012.1,BGC0001690.1,0.2126479297876358,0.5388623476028442
BGC0000231.1,BGC0001072.1,0.5326640605926514,0.2701616287231445
BGC0000050.1,BGC0000094.1,0.2282682955265045,0.5222256779670715
BGC0001348.1,BGC0001828.1,0.21137551963329315,0.5402440428733826
BGC0000217.1,BGC0001558.1,0.2405834645032883,0.5095069408416748
BGC0000231.1,BGC0001568.1,0.1932751387357712,0.5603693127632141
BGC0000200.1,BGC0001366.1,0.185140922665596,0.5697199702262878
BGC0000211.1,BGC0000236.1,0.2104201465845108,0.5412842631340027
BGC0000047.1,BGC0001812.1,0.29209059476852417,0.4595459401607514
BGC0000113.1,BGC0001939.1,0.1708555370569229,0.5866532325744629
BGC0000151.1,BGC0001877.1,0.1926048845052719,0.5611322522163391
BGC0000226.1,BGC0001661.1,0.2003145068883896,0.5524349212646484
BGC0000092.1,BGC0000094.1,0.17227506637573242,0.5849396586418152
BGC0000059.1,BGC0001349.1,0.18406279385089874,0.570974588394165
BGC0000940.1,BGC0001453.1,0.6041862964630127,0.22270579636096954
