ID,BiG-SCAPE class,label
BGC0000175.1,Others,BGC0000175.1
BGC0000385.1,Others,BGC0000385.1
BGC0000468.1,RiPPs,BGC0000468.1
BGC0000469.1,RiPPs,BGC0000469.1
BGC0000470.1,RiPPs,BGC0000470.1
BGC0000471.1,RiPPs,BGC0000471.1
BGC0000472.1,RiPPs,BGC0000472.1
BGC0000473.1,RiPPs,BGC0000473.1
BGC0000474.1,RiPPs,BGC0000474.1
BGC0000475.1,RiPPs,BGC0000475.1
BGC0000476.1,RiPPs,BGC0000476.1
BGC0000477.1,RiPPs,BGC0000477.1
BGC0000478.1,RiPPs,BGC0000478.1
BGC0000479.1,RiPPs,BGC0000479.1
BGC0000480.1,RiPPs,BGC0000480.1
BGC0000481.1,RiPPs,BGC0000481.1
BGC0000482.1,RiPPs,BGC0000482.1
BGC0000483.1,RiPPs,BGC0000483.1
BGC0000484.1,RiPPs,BGC0000484.1
BGC0000485.1,RiPPs,BGC0000485.1
BGC0000486.1,RiPPs,BGC0000486.1
BGC0000487.1,RiPPs,BGC0000487.1
BGC0000488.1,RiPPs,BGC0000488.1
BGC0000489.1,RiPPs,BGC0000489.1
BGC0000490.1,RiPPs,BGC0000490.1
BGC0000491.1,RiPPs,BGC0000491.1
BGC0000494.1,RiPPs,BGC0000494.1
BGC0000495.1,RiPPs,BGC0000495.1
BGC0000496.1,RiPPs,BGC0000496.1
BGC0000497.1,RiPPs,BGC0000497.1
BGC0000498.1,RiPPs,BGC0000498.1
BGC0000499.1,RiPPs,BGC0000499.1
BGC0000500.1,RiPPs,BGC0000500.1
BGC0000501.1,RiPPs,BGC0000501.1
BGC0000502.1,RiPPs,BGC0000502.1
BGC0000503.1,RiPPs,BGC0000503.1
BGC0000504.1,RiPPs,BGC0000504.1
BGC0000506.1,RiPPs,BGC0000506.1
BGC0000507.1,RiPPs,BGC0000507.1
BGC0000508.1,RiPPs,BGC0000508.1
BGC0000509.1,RiPPs,BGC0000509.1
BGC0000511.1,RiPPs,BGC0000511.1
BGC0000514.1,RiPPs,BGC0000514.1
BGC0000515.1,RiPPs,BGC0000515.1
BGC0000516.1,RiPPs,BGC0000516.1
BGC0000517.1,RiPPs,BGC0000517.1
BGC0000518.1,RiPPs,BGC0000518.1
BGC0000519.1,RiPPs,BGC0000519.1
BGC0000521.1,RiPPs,BGC0000521.1
BGC0000522.1,RiPPs,BGC0000522.1
BGC0000523.1,RiPPs,BGC0000523.1
BGC0000525.1,RiPPs,BGC0000525.1
BGC0000526.1,RiPPs,BGC0000526.1
BGC0000527.1,RiPPs,BGC0000527.1
BGC0000528.1,RiPPs,BGC0000528.1
BGC0000529.1,RiPPs,BGC0000529.1
BGC0000530.1,RiPPs,BGC0000530.1
BGC0000531.1,RiPPs,BGC0000531.1
BGC0000532.1,RiPPs,BGC0000532.1
BGC0000533.1,RiPPs,BGC0000533.1
BGC0000534.1,RiPPs,BGC0000534.1
BGC0000535.1,RiPPs,BGC0000535.1
BGC0000536.1,RiPPs,BGC0000536.1
BGC0000537.1,RiPPs,BGC0000537.1
BGC0000538.1,RiPPs,BGC0000538.1
BGC0000539.1,RiPPs,BGC0000539.1
BGC0000540.1,RiPPs,BGC0000540.1
BGC0000541.1,RiPPs,BGC0000541.1
BGC0000542.1,RiPPs,BGC0000542.1
BGC0000543.1,RiPPs,BGC0000543.1
BGC0000544.1,RiPPs,BGC0000544.1
BGC0000545.1,RiPPs,BGC0000545.1
BGC0000546.1,RiPPs,BGC0000546.1
BGC0000547.1,RiPPs,BGC0000547.1
BGC0000549.1,RiPPs,BGC0000549.1
BGC0000551.1,RiPPs,BGC0000551.1
BGC0000552.1,RiPPs,BGC0000552.1
BGC0000554.1,RiPPs,BGC0000554.1
BGC0000555.1,RiPPs,BGC0000555.1
BGC0000556.1,RiPPs,BGC0000556.1
BGC0000557.1,RiPPs,BGC0000557.1
BGC0000558.1,RiPPs,BGC0000558.1
BGC0000559.1,RiPPs,BGC0000559.1
BGC0000560.1,RiPPs,BGC0000560.1
BGC0000561.1,RiPPs,BGC0000561.1
BGC0000563.1,RiPPs,BGC0000563.1
BGC0000564.1,RiPPs,BGC0000564.1
BGC0000565.1,RiPPs,BGC0000565.1
BGC0000566.1,RiPPs,BGC0000566.1
BGC0000567.1,RiPPs,BGC0000567.1
BGC0000568.1,RiPPs,BGC0000568.1
BGC0000569.1,RiPPs,BGC0000569.1
BGC0000570.1,RiPPs,BGC0000570.1
BGC0000571.1,RiPPs,BGC0000571.1
BGC0000572.1,RiPPs,BGC0000572.1
BGC0000573.1,RiPPs,BGC0000573.1
BGC0000574.1,RiPPs,BGC0000574.1
BGC0000575.1,RiPPs,BGC0000575.1
BGC0000576.1,RiPPs,BGC0000576.1
BGC0000577.1,RiPPs,BGC0000577.1
BGC0000578.1,RiPPs,BGC0000578.1
BGC0000579.1,RiPPs,BGC0000579.1
BGC0000580.1,RiPPs,BGC0000580.1
BGC0000581.1,RiPPs,BGC0000581.1
BGC0000582.1,RiPPs,BGC0000582.1
BGC0000583.1,RiPPs,BGC0000583.1
BGC0000591.1,RiPPs,BGC0000591.1
BGC0000592.1,RiPPs,BGC0000592.1
BGC0000593.1,RiPPs,BGC0000593.1
BGC0000594.1,RiPPs,BGC0000594.1
BGC0000598.1,RiPPs,BGC0000598.1
BGC0000599.1,RiPPs,BGC0000599.1
BGC0000600.1,RiPPs,BGC0000600.1
BGC0000601.1,RiPPs,BGC0000601.1
BGC0000602.1,RiPPs,BGC0000602.1
BGC0000603.1,RiPPs,BGC0000603.1
BGC0000604.1,RiPPs,BGC0000604.1
BGC0000605.1,RiPPs,BGC0000605.1
BGC0000606.1,RiPPs,BGC0000606.1
BGC0000607.1,RiPPs,BGC0000607.1
BGC0000608.1,RiPPs,BGC0000608.1
BGC0000609.1,RiPPs,BGC0000609.1
BGC0000610.1,RiPPs,BGC0000610.1
BGC0000611.1,Others,BGC0000611.1
BGC0000612.1,RiPPs,BGC0000612.1
BGC0000613.1,RiPPs,BGC0000613.1
BGC0000614.1,RiPPs,BGC0000614.1
BGC0000615.1,RiPPs,BGC0000615.1
BGC0000616.1,RiPPs,BGC0000616.1
BGC0000617.1,RiPPs,BGC0000617.1
BGC0000618.1,RiPPs,BGC0000618.1
BGC0000619.1,RiPPs,BGC0000619.1
BGC0000620.1,RiPPs,BGC0000620.1
BGC0000624.1,RiPPs,BGC0000624.1
BGC0000625.1,RiPPs,BGC0000625.1
BGC0000626.1,RiPPs,BGC0000626.1
BGC0000627.1,RiPPs,BGC0000627.1
BGC0000628.1,RiPPs,BGC0000628.1
BGC0000655.1,Others,BGC0000655.1
BGC0000796.1,RiPPs,BGC0000796.1
BGC0000809.1,Others,BGC0000809.1
BGC0000874.1,RiPPs,BGC0000874.1
BGC0000986.1,Others,BGC0000986.1
BGC0001020.1,Others,BGC0001020.1
BGC0001145.1,RiPPs,BGC0001145.1
BGC0001146.1,RiPPs,BGC0001146.1
BGC0001148.1,Others,BGC0001148.1
BGC0001155.1,RiPPs,BGC0001155.1
BGC0001157.1,RiPPs,BGC0001157.1
BGC0001167.1,RiPPs,BGC0001167.1
BGC0001170.1,RiPPs,BGC0001170.1
BGC0001171.1,RiPPs,BGC0001171.1
BGC0001173.1,RiPPs,BGC0001173.1
BGC0001174.1,RiPPs,BGC0001174.1
BGC0001176.1,RiPPs,BGC0001176.1
BGC0001188.1,RiPPs,BGC0001188.1
BGC0001209.1,RiPPs,BGC0001209.1
BGC0001210.1,RiPPs,BGC0001210.1
BGC0001222.1,RiPPs,BGC0001222.1
BGC0001229.1,RiPPs,BGC0001229.1
BGC0001289.1,RiPPs,BGC0001289.1
BGC0001291.1,RiPPs,BGC0001291.1
BGC0001307.1,RiPPs,BGC0001307.1
BGC0001311.1,RiPPs,BGC0001311.1
BGC0001356.1,RiPPs,BGC0001356.1
BGC0001364.1,RiPPs,BGC0001364.1
BGC0001388.1,RiPPs,BGC0001388.1
BGC0001391.1,RiPPs,BGC0001391.1
BGC0001392.1,RiPPs,BGC0001392.1
BGC0001407.1,RiPPs,BGC0001407.1
BGC0001435.1,Others,BGC0001435.1
BGC0001471.1,RiPPs,BGC0001471.1
BGC0001472.1,RiPPs,BGC0001472.1
BGC0001473.1,RiPPs,BGC0001473.1
BGC0001474.1,RiPPs,BGC0001474.1
BGC0001485.1,RiPPs,BGC0001485.1
BGC0001486.1,RiPPs,BGC0001486.1
BGC0001493.1,RiPPs,BGC0001493.1
BGC0001494.1,RiPPs,BGC0001494.1
BGC0001496.1,RiPPs,BGC0001496.1
BGC0001505.1,RiPPs,BGC0001505.1
BGC0001506.1,RiPPs,BGC0001506.1
BGC0001507.1,RiPPs,BGC0001507.1
BGC0001539.1,RiPPs,BGC0001539.1
BGC0001546.1,RiPPs,BGC0001546.1
BGC0001548.1,RiPPs,BGC0001548.1
BGC0001549.1,RiPPs,BGC0001549.1
BGC0001550.1,RiPPs,BGC0001550.1
BGC0001552.1,RiPPs,BGC0001552.1
BGC0001576.1,RiPPs,BGC0001576.1
BGC0001579.1,RiPPs,BGC0001579.1
BGC0001582.1,Others,BGC0001582.1
BGC0001602.1,RiPPs,BGC0001602.1
BGC0001618.1,RiPPs,BGC0001618.1
BGC0001632.1,RiPPs,BGC0001632.1
BGC0001634.1,RiPPs,BGC0001634.1
BGC0001640.1,RiPPs,BGC0001640.1
BGC0001645.1,RiPPs,BGC0001645.1
BGC0001655.1,RiPPs,BGC0001655.1
BGC0001660.1,RiPPs,BGC0001660.1
BGC0001669.1,Others,BGC0001669.1
BGC0001673.1,RiPPs,BGC0001673.1
BGC0001674.1,RiPPs,BGC0001674.1
BGC0001696.1,RiPPs,BGC0001696.1
BGC0001701.1,RiPPs,BGC0001701.1
BGC0001707.1,RiPPs,BGC0001707.1
BGC0001727.1,RiPPs,BGC0001727.1
BGC0001733.1,RiPPs,BGC0001733.1
BGC0001735.1,RiPPs,BGC0001735.1
BGC0001743.1,RiPPs,BGC0001743.1
BGC0001745.1,RiPPs,BGC0001745.1
BGC0001753.1,RiPPs,BGC0001753.1
BGC0001781.1,RiPPs,BGC0001781.1
BGC0001786.1,RiPPs,BGC0001786.1
BGC0001787.1,RiPPs,BGC0001787.1
BGC0001788.1,RiPPs,BGC0001788.1
BGC0001789.1,RiPPs,BGC0001789.1
BGC0001797.1,RiPPs,BGC0001797.1
BGC0001800.1,Others,BGC0001800.1
BGC0001802.1,RiPPs,BGC0001802.1
BGC0001803.1,RiPPs,BGC0001803.1
BGC0001849.1,RiPPs,BGC0001849.1
BGC0001860.1,RiPPs,BGC0001860.1
BGC0001861.1,RiPPs,BGC0001861.1
BGC0001862.1,RiPPs,BGC0001862.1
BGC0001863.1,RiPPs,BGC0001863.1
BGC0001889.1,RiPPs,BGC0001889.1
BGC0001920.1,RiPPs,BGC0001920.1
BGC0001921.1,RiPPs,BGC0001921.1
BGC0001929.1,RiPPs,BGC0001929.1
BGC0001930.1,RiPPs,BGC0001930.1
BGC0001933.1,RiPPs,BGC0001933.1
BGC0002004.1,RiPPs,BGC0002004.1
BGC0002006.1,RiPPs,BGC0002006.1
BGC0002013.1,RiPPs,BGC0002013.1
BGC0002015.1,RiPPs,BGC0002015.1
BGC0002023.1,RiPPs,BGC0002023.1
BGC0002027.1,RiPPs,BGC0002027.1
NZ_JNXG01000002.region001,RiPPs,NZ
NZ_JNXG01000002.region002,RiPPs,NZ
NZ_JNXG01000003.region002,RiPPs,NZ
NZ_JNXG01000005.region001,RiPPs,NZ
NZ_JNXG01000018.region001,RiPPs,NZ
NZ_JNXG01000021.region002,RiPPs,NZ
