ID,BiG-SCAPE class,label
BGC0000002.1,Others,BGC0000002.1
BGC0000026.1,Others,BGC0000026.1
BGC0000033.1,Others,BGC0000033.1
BGC0000078.1,Others,BGC0000078.1
BGC0000082.1,Others,BGC0000082.1
BGC0000199.1,Others,BGC0000199.1
BGC0000210.1,Others,BGC0000210.1
BGC0000229.1,Others,BGC0000229.1
BGC0000239.1,Others,BGC0000239.1
BGC0000247.1,Others,BGC0000247.1
BGC0000262.1,Others,BGC0000262.1
BGC0000267.1,Others,BGC0000267.1
BGC0000268.1,Others,BGC0000268.1
BGC0000277.1,Saccharides,BGC0000277.1
BGC0000283.1,Others,BGC0000283.1
BGC0000689.1,Saccharides,BGC0000689.1
BGC0000690.1,Saccharides,BGC0000690.1
BGC0000691.1,Saccharides,BGC0000691.1
BGC0000692.1,Saccharides,BGC0000692.1
BGC0000693.1,Saccharides,BGC0000693.1
BGC0000694.1,Saccharides,BGC0000694.1
BGC0000696.1,Saccharides,BGC0000696.1
BGC0000699.1,Saccharides,BGC0000699.1
BGC0000700.1,Others,BGC0000700.1
BGC0000701.1,Saccharides,BGC0000701.1
BGC0000702.1,Saccharides,BGC0000702.1
BGC0000704.1,Saccharides,BGC0000704.1
BGC0000705.1,Saccharides,BGC0000705.1
BGC0000708.1,Saccharides,BGC0000708.1
BGC0000709.1,Saccharides,BGC0000709.1
BGC0000711.1,Saccharides,BGC0000711.1
BGC0000712.1,Others,BGC0000712.1
BGC0000713.1,Saccharides,BGC0000713.1
BGC0000714.1,Saccharides,BGC0000714.1
BGC0000715.1,Saccharides,BGC0000715.1
BGC0000716.1,Saccharides,BGC0000716.1
BGC0000719.1,Saccharides,BGC0000719.1
BGC0000720.1,Saccharides,BGC0000720.1
BGC0000721.1,Saccharides,BGC0000721.1
BGC0000722.1,Saccharides,BGC0000722.1
BGC0000723.1,Saccharides,BGC0000723.1
BGC0000724.1,Saccharides,BGC0000724.1
BGC0001004.1,Others,BGC0001004.1
BGC0001038.1,Others,BGC0001038.1
BGC0001074.1,Others,BGC0001074.1
BGC0001183.1,Others,BGC0001183.1
BGC0001384.1,Others,BGC0001384.1
BGC0001438.1,Others,BGC0001438.1
BGC0001439.1,Others,BGC0001439.1
BGC0001452.1,Others,BGC0001452.1
BGC0001522.1,Others,BGC0001522.1
BGC0001558.1,Others,BGC0001558.1
BGC0001568.1,Others,BGC0001568.1
BGC0001603.1,Saccharides,BGC0001603.1
BGC0001619.1,Others,BGC0001619.1
BGC0001769.1,Others,BGC0001769.1
BGC0001851.1,Others,BGC0001851.1
BGC0001852.1,Others,BGC0001852.1
BGC0001877.1,Others,BGC0001877.1
BGC0001931.1,Others,BGC0001931.1
BGC0001979.1,Others,BGC0001979.1
BGC0002033.1,Others,BGC0002033.1
NZ_JNXG01000009.region001,Saccharides,NZ
