ID,BiG-SCAPE class,label
BGC0000014.1,PKS-NRP_Hybrids,BGC0000014.1
BGC0000020.1,PKS-NRP_Hybrids,BGC0000020.1
BGC0000026.1,Others,BGC0000026.1
BGC0000033.1,Others,BGC0000033.1
BGC0000034.1,PKS-NRP_Hybrids,BGC0000034.1
BGC0000036.1,PKSother,BGC0000036.1
BGC0000061.1,PKS-NRP_Hybrids,BGC0000061.1
BGC0000062.1,PKS-NRP_Hybrids,BGC0000062.1
BGC0000063.1,PKS-NRP_Hybrids,BGC0000063.1
BGC0000064.1,PKS-NRP_Hybrids,BGC0000064.1
BGC0000065.1,PKSother,BGC0000065.1
BGC0000066.1,PKS-NRP_Hybrids,BGC0000066.1
BGC0000067.1,PKS-NRP_Hybrids,BGC0000067.1
BGC0000074.1,PKS-NRP_Hybrids,BGC0000074.1
BGC0000075.1,PKS-NRP_Hybrids,BGC0000075.1
BGC0000083.1,PKSother,BGC0000083.1
BGC0000090.1,PKS-NRP_Hybrids,BGC0000090.1
BGC0000091.1,PKS-NRP_Hybrids,BGC0000091.1
BGC0000106.1,PKS-NRP_Hybrids,BGC0000106.1
BGC0000108.1,PKS-NRP_Hybrids,BGC0000108.1
BGC0000118.1,Others,BGC0000118.1
BGC0000119.1,Others,BGC0000119.1
BGC0000122.1,PKS-NRP_Hybrids,BGC0000122.1
BGC0000125.1,PKS-NRP_Hybrids,BGC0000125.1
BGC0000136.1,PKS-NRP_Hybrids,BGC0000136.1
BGC0000137.1,PKS-NRP_Hybrids,BGC0000137.1
BGC0000138.1,PKS-NRP_Hybrids,BGC0000138.1
BGC0000145.1,PKS-NRP_Hybrids,BGC0000145.1
BGC0000150.1,PKS-NRP_Hybrids,BGC0000150.1
BGC0000165.1,PKSother,BGC0000165.1
BGC0000171.1,PKSother,BGC0000171.1
BGC0000172.1,PKSother,BGC0000172.1
BGC0000173.1,PKSother,BGC0000173.1
BGC0000174.1,PKSother,BGC0000174.1
BGC0000175.1,Others,BGC0000175.1
BGC0000176.1,PKSother,BGC0000176.1
BGC0000177.1,PKSother,BGC0000177.1
BGC0000178.1,PKS-NRP_Hybrids,BGC0000178.1
BGC0000179.1,PKSother,BGC0000179.1
BGC0000180.1,PKS-NRP_Hybrids,BGC0000180.1
BGC0000181.1,PKSother,BGC0000181.1
BGC0000182.1,Others,BGC0000182.1
BGC0000184.1,PKSother,BGC0000184.1
BGC0000185.1,PKSother,BGC0000185.1
BGC0000186.1,PKS-NRP_Hybrids,BGC0000186.1
BGC0000190.1,PKSother,BGC0000190.1
BGC0000191.1,PKSother,BGC0000191.1
BGC0000192.1,PKSother,BGC0000192.1
BGC0000194.1,PKSother,BGC0000194.1
BGC0000195.1,PKSother,BGC0000195.1
BGC0000197.1,PKSother,BGC0000197.1
BGC0000198.1,PKSother,BGC0000198.1
BGC0000199.1,Others,BGC0000199.1
BGC0000200.1,PKSother,BGC0000200.1
BGC0000201.1,PKSother,BGC0000201.1
BGC0000202.1,PKSother,BGC0000202.1
BGC0000203.1,PKSother,BGC0000203.1
