ID,BiG-SCAPE class,label
BGC0000014.1,PKS-NRP_Hybrids,BGC0000014.1
BGC0000020.1,PKS-NRP_Hybrids,BGC0000020.1
BGC0000034.1,PKS-NRP_Hybrids,BGC0000034.1
BGC0000061.1,PKS-NRP_Hybrids,BGC0000061.1
BGC0000062.1,PKS-NRP_Hybrids,BGC0000062.1
BGC0000063.1,PKS-NRP_Hybrids,BGC0000063.1
BGC0000064.1,PKS-NRP_Hybrids,BGC0000064.1
BGC0000066.1,PKS-NRP_Hybrids,BGC0000066.1
BGC0000067.1,PKS-NRP_Hybrids,BGC0000067.1
BGC0000074.1,PKS-NRP_Hybrids,BGC0000074.1
BGC0000075.1,PKS-NRP_Hybrids,BGC0000075.1
BGC0000081.1,Others,BGC0000081.1
BGC0000090.1,PKS-NRP_Hybrids,BGC0000090.1
BGC0000091.1,PKS-NRP_Hybrids,BGC0000091.1
BGC0000106.1,PKS-NRP_Hybrids,BGC0000106.1
BGC0000108.1,PKS-NRP_Hybrids,BGC0000108.1
BGC0000122.1,PKS-NRP_Hybrids,BGC0000122.1
BGC0000125.1,PKS-NRP_Hybrids,BGC0000125.1
BGC0000136.1,PKS-NRP_Hybrids,BGC0000136.1
BGC0000137.1,PKS-NRP_Hybrids,BGC0000137.1
BGC0000138.1,PKS-NRP_Hybrids,BGC0000138.1
BGC0000141.1,Others,BGC0000141.1
BGC0000144.1,Others,BGC0000144.1
BGC0000145.1,PKS-NRP_Hybrids,BGC0000145.1
BGC0000150.1,PKS-NRP_Hybrids,BGC0000150.1
BGC0000175.1,Others,BGC0000175.1
BGC0000178.1,PKS-NRP_Hybrids,BGC0000178.1
BGC0000180.1,PKS-NRP_Hybrids,BGC0000180.1
BGC0000186.1,PKS-NRP_Hybrids,BGC0000186.1
BGC0000257.1,PKS-NRP_Hybrids,BGC0000257.1
BGC0000287.1,NRPS,BGC0000287.1
BGC0000288.1,Others,BGC0000288.1
BGC0000289.1,PKS-NRP_Hybrids,BGC0000289.1
BGC0000290.1,PKS-NRP_Hybrids,BGC0000290.1
BGC0000291.1,NRPS,BGC0000291.1
BGC0000292.1,NRPS,BGC0000292.1
BGC0000293.1,Others,BGC0000293.1
BGC0000294.1,NRPS,BGC0000294.1
BGC0000296.1,NRPS,BGC0000296.1
BGC0000297.1,NRPS,BGC0000297.1
BGC0000298.1,NRPS,BGC0000298.1
BGC0000299.1,Others,BGC0000299.1
BGC0000300.1,NRPS,BGC0000300.1
BGC0000301.1,NRPS,BGC0000301.1
BGC0000302.1,Others,BGC0000302.1
BGC0000303.1,NRPS,BGC0000303.1
BGC0000304.1,NRPS,BGC0000304.1
BGC0000305.1,NRPS,BGC0000305.1
BGC0000306.1,NRPS,BGC0000306.1
BGC0000307.1,NRPS,BGC0000307.1
BGC0000308.1,NRPS,BGC0000308.1
BGC0000309.1,NRPS,BGC0000309.1
BGC0000310.1,NRPS,BGC0000310.1
BGC0000311.1,PKS-NRP_Hybrids,BGC0000311.1
BGC0000312.1,NRPS,BGC0000312.1
