ID,BiG-SCAPE class,label
BGC0000002.1,Others,BGC0000002.1
BGC0000005.1,Others,BGC0000005.1
BGC0000010.1,Others,BGC0000010.1
BGC0000016.1,Others,BGC0000016.1
BGC0000019.1,Others,BGC0000019.1
BGC0000025.1,Others,BGC0000025.1
BGC0000026.1,Others,BGC0000026.1
BGC0000033.1,Others,BGC0000033.1
BGC0000038.1,Others,BGC0000038.1
BGC0000078.1,Others,BGC0000078.1
BGC0000081.1,Others,BGC0000081.1
BGC0000082.1,Others,BGC0000082.1
BGC0000101.1,Others,BGC0000101.1
BGC0000112.1,Others,BGC0000112.1
BGC0000118.1,Others,BGC0000118.1
BGC0000119.1,Others,BGC0000119.1
BGC0000131.1,Others,BGC0000131.1
BGC0000141.1,Others,BGC0000141.1
BGC0000144.1,Others,BGC0000144.1
BGC0000168.1,Others,BGC0000168.1
BGC0000175.1,Others,BGC0000175.1
BGC0000182.1,Others,BGC0000182.1
BGC0000187.1,Others,BGC0000187.1
BGC0000188.1,Others,BGC0000188.1
BGC0000189.1,Others,BGC0000189.1
BGC0000193.1,Others,BGC0000193.1
BGC0000196.1,Others,BGC0000196.1
BGC0000199.1,Others,BGC0000199.1
BGC0000207.1,Others,BGC0000207.1
BGC0000210.1,Others,BGC0000210.1
BGC0000213.1,Others,BGC0000213.1
BGC0000229.1,Others,BGC0000229.1
BGC0000238.1,Others,BGC0000238.1
BGC0000239.1,Others,BGC0000239.1
BGC0000243.1,Others,BGC0000243.1
BGC0000244.1,Others,BGC0000244.1
BGC0000247.1,Others,BGC0000247.1
BGC0000249.1,Others,BGC0000249.1
BGC0000252.1,Others,BGC0000252.1
BGC0000258.1,Others,BGC0000258.1
BGC0000259.1,Others,BGC0000259.1
BGC0000260.1,Others,BGC0000260.1
BGC0000262.1,Others,BGC0000262.1
BGC0000265.1,Others,BGC0000265.1
BGC0000267.1,Others,BGC0000267.1
BGC0000268.1,Others,BGC0000268.1
BGC0000270.1,Others,BGC0000270.1
BGC0000274.1,Others,BGC0000274.1
BGC0000278.1,Others,BGC0000278.1
BGC0000283.1,Others,BGC0000283.1
BGC0000288.1,Others,BGC0000288.1
BGC0000293.1,Others,BGC0000293.1
BGC0000295.1,Others,BGC0000295.1
BGC0000299.1,Others,BGC0000299.1
BGC0000302.1,Others,BGC0000302.1
BGC0000314.1,Others,BGC0000314.1
BGC0000329.1,Others,BGC0000329.1
BGC0000333.1,Others,BGC0000333.1
BGC0000356.1,Others,BGC0000356.1
BGC0000372.1,Others,BGC0000372.1
BGC0000384.1,Others,BGC0000384.1
BGC0000385.1,Others,BGC0000385.1
BGC0000386.1,Others,BGC0000386.1
BGC0000387.1,Others,BGC0000387.1
BGC0000391.1,Others,BGC0000391.1
BGC0000406.1,Others,BGC0000406.1
BGC0000420.1,Others,BGC0000420.1
BGC0000422.1,Others,BGC0000422.1
BGC0000429.1,Others,BGC0000429.1
BGC0000442.1,Others,BGC0000442.1
BGC0000451.1,Others,BGC0000451.1
BGC0000459.1,Others,BGC0000459.1
BGC0000466.1,Others,BGC0000466.1
BGC0000510.1,Others,BGC0000510.1
BGC0000513.1,Others,BGC0000513.1
BGC0000520.1,Others,BGC0000520.1
BGC0000548.1,Others,BGC0000548.1
BGC0000550.1,Others,BGC0000550.1
BGC0000553.1,Others,BGC0000553.1
BGC0000562.1,Others,BGC0000562.1
BGC0000584.1,Others,BGC0000584.1
BGC0000585.1,Others,BGC0000585.1
BGC0000586.1,Others,BGC0000586.1
BGC0000587.1,Others,BGC0000587.1
BGC0000588.1,Others,BGC0000588.1
BGC0000589.1,Others,BGC0000589.1
BGC0000590.1,Others,BGC0000590.1
BGC0000595.1,Others,BGC0000595.1
BGC0000596.1,Others,BGC0000596.1
BGC0000597.1,Others,BGC0000597.1
BGC0000611.1,Others,BGC0000611.1
BGC0000621.1,Others,BGC0000621.1
BGC0000622.1,Others,BGC0000622.1
BGC0000623.1,Others,BGC0000623.1
BGC0000652.1,Others,BGC0000652.1
BGC0000654.1,Others,BGC0000654.1
BGC0000655.1,Others,BGC0000655.1
BGC0000662.1,Others,BGC0000662.1
BGC0000665.1,Others,BGC0000665.1
BGC0000666.1,Others,BGC0000666.1
BGC0000668.1,Others,BGC0000668.1
BGC0000670.1,Others,BGC0000670.1
BGC0000673.1,Others,BGC0000673.1
BGC0000677.1,Others,BGC0000677.1
BGC0000686.1,Others,BGC0000686.1
BGC0000687.1,Others,BGC0000687.1
BGC0000695.1,Others,BGC0000695.1
BGC0000698.1,Others,BGC0000698.1
BGC0000700.1,Others,BGC0000700.1
BGC0000703.1,Others,BGC0000703.1
BGC0000706.1,Others,BGC0000706.1
BGC0000707.1,Others,BGC0000707.1
BGC0000712.1,Others,BGC0000712.1
BGC0000725.1,Others,BGC0000725.1
BGC0000728.1,Others,BGC0000728.1
BGC0000729.1,Others,BGC0000729.1
BGC0000730.1,Others,BGC0000730.1
BGC0000731.1,Others,BGC0000731.1
BGC0000732.1,Others,BGC0000732.1
BGC0000733.1,Others,BGC0000733.1
BGC0000734.1,Others,BGC0000734.1
BGC0000735.1,Others,BGC0000735.1
BGC0000736.1,Others,BGC0000736.1
BGC0000737.1,Others,BGC0000737.1
BGC0000738.1,Others,BGC0000738.1
BGC0000739.1,Others,BGC0000739.1
BGC0000740.1,Others,BGC0000740.1
BGC0000741.1,Others,BGC0000741.1
BGC0000742.1,Others,BGC0000742.1
BGC0000743.1,Others,BGC0000743.1
BGC0000744.1,Others,BGC0000744.1
BGC0000745.1,Others,BGC0000745.1
BGC0000746.1,Others,BGC0000746.1
BGC0000747.1,Others,BGC0000747.1
BGC0000748.1,Others,BGC0000748.1
BGC0000749.1,Others,BGC0000749.1
BGC0000751.1,Others,BGC0000751.1
BGC0000752.1,Others,BGC0000752.1
BGC0000753.1,Others,BGC0000753.1
BGC0000754.1,Others,BGC0000754.1
BGC0000755.1,Others,BGC0000755.1
BGC0000756.1,Others,BGC0000756.1
BGC0000757.1,Others,BGC0000757.1
BGC0000758.1,Others,BGC0000758.1
BGC0000759.1,Others,BGC0000759.1
BGC0000760.1,Others,BGC0000760.1
BGC0000761.1,Others,BGC0000761.1
BGC0000762.1,Others,BGC0000762.1
BGC0000763.1,Others,BGC0000763.1
BGC0000764.1,Others,BGC0000764.1
BGC0000765.1,Others,BGC0000765.1
BGC0000766.1,Others,BGC0000766.1
BGC0000767.1,Others,BGC0000767.1
BGC0000768.1,Others,BGC0000768.1
BGC0000769.1,Others,BGC0000769.1
BGC0000770.1,Others,BGC0000770.1
BGC0000772.1,Others,BGC0000772.1
BGC0000773.1,Others,BGC0000773.1
BGC0000774.1,Others,BGC0000774.1
BGC0000775.1,Others,BGC0000775.1
BGC0000776.1,Others,BGC0000776.1
