ID,BiG-SCAPE class,label
BGC0000611.1,Others,BGC0000611.1
BGC0000630.1,Terpene,BGC0000630.1
BGC0000631.1,Terpene,BGC0000631.1
BGC0000632.1,Terpene,BGC0000632.1
BGC0000633.1,Terpene,BGC0000633.1
BGC0000634.1,Terpene,BGC0000634.1
BGC0000635.1,Terpene,BGC0000635.1
BGC0000636.1,Terpene,BGC0000636.1
BGC0000637.1,Terpene,BGC0000637.1
BGC0000638.1,Terpene,BGC0000638.1
BGC0000639.1,Terpene,BGC0000639.1
BGC0000640.1,Terpene,BGC0000640.1
BGC0000641.1,Terpene,BGC0000641.1
BGC0000642.1,Terpene,BGC0000642.1
BGC0000643.1,Terpene,BGC0000643.1
BGC0000644.1,Terpene,BGC0000644.1
BGC0000645.1,Terpene,BGC0000645.1
BGC0000646.1,Terpene,BGC0000646.1
BGC0000647.1,Terpene,BGC0000647.1
BGC0000648.1,Terpene,BGC0000648.1
BGC0000649.1,Terpene,BGC0000649.1
BGC0000650.1,Terpene,BGC0000650.1
BGC0000651.1,Terpene,BGC0000651.1
BGC0000652.1,Others,BGC0000652.1
BGC0000653.1,Terpene,BGC0000653.1
BGC0000654.1,Others,BGC0000654.1
BGC0000655.1,Others,BGC0000655.1
BGC0000656.1,Terpene,BGC0000656.1
BGC0000657.1,Terpene,BGC0000657.1
BGC0000658.1,Terpene,BGC0000658.1
BGC0000659.1,Terpene,BGC0000659.1
BGC0000660.1,Terpene,BGC0000660.1
BGC0000661.1,Terpene,BGC0000661.1
BGC0000663.1,Terpene,BGC0000663.1
BGC0000664.1,Terpene,BGC0000664.1
BGC0000667.1,Terpene,BGC0000667.1
BGC0000669.1,Terpene,BGC0000669.1
BGC0000671.1,Terpene,BGC0000671.1
BGC0000672.1,Terpene,BGC0000672.1
BGC0000674.1,Terpene,BGC0000674.1
BGC0000675.1,Terpene,BGC0000675.1
BGC0000676.1,Terpene,BGC0000676.1
BGC0000678.1,Terpene,BGC0000678.1
BGC0000683.1,Terpene,BGC0000683.1
BGC0000685.1,Terpene,BGC0000685.1
BGC0000688.1,Terpene,BGC0000688.1
BGC0000930.1,Terpene,BGC0000930.1
BGC0001046.1,Others,BGC0001046.1
BGC0001078.1,Others,BGC0001078.1
BGC0001079.1,Others,BGC0001079.1
BGC0001082.1,Others,BGC0001082.1
BGC0001083.1,Others,BGC0001083.1
BGC0001181.1,Terpene,BGC0001181.1
BGC0001201.1,Terpene,BGC0001201.1
BGC0001227.1,Terpene,BGC0001227.1
BGC0001260.1,Others,BGC0001260.1
BGC0001277.1,Terpene,BGC0001277.1
BGC0001278.1,Terpene,BGC0001278.1
BGC0001321.1,Terpene,BGC0001321.1
BGC0001322.1,Terpene,BGC0001322.1
BGC0001323.1,Terpene,BGC0001323.1
BGC0001324.1,Terpene,BGC0001324.1
BGC0001330.1,Others,BGC0001330.1
BGC0001339.1,Others,BGC0001339.1
BGC0001361.1,Terpene,BGC0001361.1
BGC0001373.1,Others,BGC0001373.1
BGC0001456.1,Terpene,BGC0001456.1
BGC0001475.1,Terpene,BGC0001475.1
BGC0001481.1,Terpene,BGC0001481.1
BGC0001580.1,Others,BGC0001580.1
BGC0001604.1,Terpene,BGC0001604.1
BGC0001617.1,Terpene,BGC0001617.1
BGC0001642.1,Terpene,BGC0001642.1
BGC0001646.1,Others,BGC0001646.1
BGC0001706.1,Others,BGC0001706.1
BGC0001746.1,Terpene,BGC0001746.1
BGC0001756.1,Terpene,BGC0001756.1
BGC0001775.1,Others,BGC0001775.1
BGC0001776.1,Others,BGC0001776.1
BGC0001777.1,Others,BGC0001777.1
BGC0001811.1,Terpene,BGC0001811.1
BGC0001839.1,Terpene,BGC0001839.1
BGC0001903.1,Terpene,BGC0001903.1
BGC0001910.1,Terpene,BGC0001910.1
BGC0001911.1,Terpene,BGC0001911.1
BGC0001936.1,Others,BGC0001936.1
BGC0001946.1,Others,BGC0001946.1
BGC0001969.1,Terpene,BGC0001969.1
BGC0001995.1,Terpene,BGC0001995.1
BGC0001997.1,Terpene,BGC0001997.1
BGC0002007.1,Terpene,BGC0002007.1
BGC0002019.1,Terpene,BGC0002019.1
NZ_JNXG01000007.region001,Terpene,NZ
NZ_JNXG01000010.region002,Terpene,NZ
NZ_JNXG01000011.region003,Terpene,NZ
NZ_JNXG01000016.region001,Terpene,NZ
NZ_JNXG01000017.region001,Terpene,NZ
NZ_JNXG01000018.region004,Others,NZ
NZ_JNXG01000021.region003,Others,NZ
